YYYYMM,Value,Description,Unit
200107,179060.41,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200108,183116.073,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200109,154158.317,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200110,148930.816,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200111,144116.998,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200112,157402.35,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200201,164358.019,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200202,143048.821,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200203,151485.651,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200204,142304.594,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200205,151406.4,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200206,164667.696,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200207,183194.702,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200208,179955.447,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
